id,filename,collection
222,"INTM486010 - Transfer pricing_ operational guidance_ interaction with indirect taxes_ interaction with VAT - HMRC internal manual - GOV.UK.pdf",UK
223,"INTM489520 - Diverted Profits Tax_ introduction and overview_ overview - HMRC internal manual - GOV.UK.pdf",UK
224,"INTM489530 - Diverted Profits Tax_ introduction and overview_ recent changes to the legislation - HMRC internal manual - GOV.UK.pdf",UK
225,"INTM489540 - Diverted Profits Tax_ introduction and overview_ who is affected - HMRC internal manual - GOV.UK.pdf",UK
226,"INTM489550 - Diverted Profits Tax_ introduction and overview_ customer engagement with HMRC - HMRC internal manual - GOV.UK.pdf",UK
227,"INTM489560 - Diverted Profits Tax_ introduction and overview_ the Diverted Profits Tax charge - HMRC internal manual - GOV.UK.pdf",UK
228,"INTM489570 - Diverted Profits Tax_ introduction and overview_ process and procedure - HMRC internal manual - GOV.UK.pdf",UK
229,"INTM489833 - Diverted Profits Tax_ customer engagement with HMRC_ introduction - HMRC internal manual - GOV.UK.pdf",UK
230,"INTM489836 - Diverted Profits Tax_ customer engagement with HMRC_ initial contact between customers and HMRC - HMRC internal manual - GOV.UK.pdf",UK
231,"INTM489839 - Diverted Profits Tax_ customer engagement with HMRC_ Diverted Profits Tax - internal advice and support network for case workers and CCMs - HMRC internal manual - GOV.UK.pdf",UK
232,"INTM489842 - Diverted Profits Tax_ customer engagement with HMRC_ informal discussions between HMRC and customers - HMRC internal manual - GOV.UK.pdf",UK
233,"INTM489845 - Diverted Profits Tax_ customer engagement with HMRC_ informal engagement about Diverted Profits Tax - HMRC internal manual - GOV.UK.pdf",UK
234,"INTM489848 - Diverted Profits Tax_ customer engagement with HMRC_ no formal statutory or non-statutory clearance procedure for Diverted Profits Tax - HMRC internal manual - GOV.UK.pdf",UK
235,"INTM489851 - Diverted Profits Tax_ customer engagement with HMRC_ what an initial informal discussion should cover - HMRC internal manual - GOV.UK.pdf",UK
236,"INTM489854 - Diverted Profits Tax_ customer engagement with HMRC_ seeking information from other sources - HMRC internal manual - GOV.UK.pdf",UK
237,"INTM489857 - Diverted Profits Tax_ customer engagement with HMRC_ detailed risk reviews – operational approach - HMRC internal manual - GOV.UK.pdf",UK
238,"INTM489860 - Diverted Profits Tax_ customer engagement with HMRC_ notification - HMRC internal manual - GOV.UK.pdf",UK
239,"INTM489863 - Diverted Profits Tax_ customer engagement with HMRC_ Advance Pricing Agreements do not extend to Diverted Profits Tax - HMRC internal manual - GOV.UK.pdf",UK
240,"INTM489866 - Diverted Profits Tax_ customer engagement with HMRC_ how Advance Pricing Agreements in force at 1 April 2015 interact with Diverted Profits Tax - HMRC internal manual - GOV.UK.pdf",UK
241,"INTM489869 - Diverted Profits Tax_ customer engagement with HMRC_ Advance Pricing Agreements entered into after the introduction of Diverted Profits Tax - HMRC internal manual - GOV.UK.pdf",UK
242,"INTM489872 - Diverted Profits Tax_ customer engagement with HMRC_ Advance Pricing Agreements concluded for periods ending before 1 April 2015 - HMRC internal manual - GOV.UK.pdf",UK
243,"INTM489875 - Diverted Profits Tax_ customer engagement with HMRC_ Diverted Profits Tax and Advance Thin Capitalisation Agreements - HMRC internal manual - GOV.UK.pdf",UK
244,"INTM489878 - Diverted Profits Tax_ customer engagement with HMRC_ Diverted Profits Tax and Treaties - HMRC internal manual - GOV.UK.pdf",UK
245,"INTM489882 - Diverted Profits Tax_ notification, charging and payment_ introduction – what companies need to do - HMRC internal manual - GOV.UK.pdf",UK
246,"INTM489884 - Diverted Profits Tax_ notification, charging and payment_ outline of the Diverted Profits Tax process - HMRC internal manual - GOV.UK.pdf",UK
247,"INTM489886 - Diverted Profits Tax_ notification, charging and payment_ duty to notify if potentially within the scope of Diverted Profits Tax - who must notify - HMRC internal manual - GOV.UK.pdf",UK
248,"INTM489888 - Diverted Profits Tax_ notification, charging and payment_ situations where notification is not required - HMRC internal manual - GOV.UK.pdf",UK
249,"INTM489890 - Diverted Profits Tax_ notification, charging and payment_ time limits and penalties - HMRC internal manual - GOV.UK.pdf",UK
250,"INTM489892 - Diverted Profits Tax_ notification, charging and payment_ failure to notify penalties - HMRC internal manual - GOV.UK.pdf",UK
251,"INTM489894 - Diverted Profits Tax_ notification, charging and payment_ interaction with Corporation Tax penalties - HMRC internal manual - GOV.UK.pdf",UK
252,"INTM489896 - Diverted Profits Tax_ notification, charging and payment_ accounting period - HMRC internal manual - GOV.UK.pdf",UK
253,"INTM489898 - Diverted Profits Tax_ notification, charging and payment_ how to notify - HMRC internal manual - GOV.UK.pdf",UK
254,"INTM489900 - Diverted Profits Tax_ notification, charging and payment_ raising a Diverted Profits Tax charge – overview - HMRC internal manual - GOV.UK.pdf",UK
255,"INTM489902 - Diverted Profits Tax_ notification, charging and payment_ when a preliminary notice must be issued - HMRC internal manual - GOV.UK.pdf",UK
256,"INTM489904 - Diverted Profits Tax_ notification, charging and payment_ issuing the preliminary notice - HMRC internal manual - GOV.UK.pdf",UK
257,"INTM489906 - Diverted Profits Tax_ notification, charging and payment_ content of the preliminary notice - HMRC internal manual - GOV.UK.pdf",UK
258,"INTM489908 - Diverted Profits Tax_ notification, charging and payment_ representations following a preliminary notice - HMRC internal manual - GOV.UK.pdf",UK
259,"INTM489910 - Diverted Profits Tax_ notification, charging and payment_ charging notice - HMRC internal manual - GOV.UK.pdf",UK
260,"INTM489912 - Diverted Profits Tax_ notification, charging and payment_ timing - HMRC internal manual - GOV.UK.pdf",UK
261,"INTM489914 - Diverted Profits Tax_ notification, charging and payment_ who issues the notice - HMRC internal manual - GOV.UK.pdf",UK
262,"INTM489916 - Diverted Profits Tax_ notification, charging and payment_ who should be issued with the charging notice - HMRC internal manual - GOV.UK.pdf",UK
263,"INTM489918 - Diverted Profits Tax_ notification, charging and payment_ what should be included in the charging notice - HMRC internal manual - GOV.UK.pdf",UK
264,"INTM489920 - Diverted Profits Tax_ notification, charging and payment_ review period - HMRC internal manual - GOV.UK.pdf",UK
265,"INTM489922 - Diverted Profits Tax_ notification, charging and payment_ designating the end of the review period - HMRC internal manual - GOV.UK.pdf",UK
266,"INTM489924 - Diverted Profits Tax_ notification, charging and payment_ amending a charging notice - HMRC internal manual - GOV.UK.pdf",UK
267,"INTM489926 - Diverted Profits Tax_ notification, charging and payment_ supplementary charging notice - HMRC internal manual - GOV.UK.pdf",UK
268,"INTM489928 - Diverted Profits Tax_ notification, charging and payment_ who should be issued with a supplementary charging notice - HMRC internal manual - GOV.UK.pdf",UK
269,"INTM489930 - Diverted Profits Tax_ notification, charging and payment_ content of a supplementary charging notice - HMRC internal manual - GOV.UK.pdf",UK
270,"INTM489932 - Diverted Profits Tax_ notification, charging and payment_ payment of tax charged as a result of a supplementary charging notice - HMRC internal manual - GOV.UK.pdf",UK
271,"INTM489934 - Diverted Profits Tax_ notification, charging and payment_ amending a supplementary charging notice - HMRC internal manual - GOV.UK.pdf",UK
272,"INTM489936 - Diverted Profits Tax_ notification, charging and payment_ who issues the supplementary charging notices and amending notices - HMRC internal manual - GOV.UK.pdf",UK
273,"INTM489938 - Diverted Profits Tax_ notification, charging and payment_ appeals against charging notices and supplementary charging notices - HMRC internal manual - GOV.UK.pdf",UK
274,"INTM489940 - Diverted Profits Tax_ notification, charging and payment_ information and inspection powers - HMRC internal manual - GOV.UK.pdf",UK
275,"INTM489942 - Diverted Profits Tax_ notification, charging and payment_ payment of tax – overview - HMRC internal manual - GOV.UK.pdf",UK
276,"INTM489944 - Diverted Profits Tax_ notification, charging and payment_ postponement of tax - HMRC internal manual - GOV.UK.pdf",UK
277,"INTM489946 - Diverted Profits Tax_ notification, charging and payment_ no deduction for Diverted Profits Tax against profits or income - HMRC internal manual - GOV.UK.pdf",UK
278,"INTM489948 - Diverted Profits Tax_ notification, charging and payment_ taxes that can be credited against Diverted Profits Tax - HMRC internal manual - GOV.UK.pdf",UK
279,"INTM489950 - Diverted Profits Tax_ notification, charging and payment_ controlled foreign companies charges - HMRC internal manual - GOV.UK.pdf",UK
280,"INTM489952 - Diverted Profits Tax_ notification, charging and payment_ process for collecting tax - HMRC internal manual - GOV.UK.pdf",UK
281,"INTM489954 - Diverted Profits Tax_ notification, charging and payment_ collection of tax from a non-UK resident - HMRC internal manual - GOV.UK.pdf",UK
282,"INTM489956 - Diverted Profits Tax_ notification, charging and payment_ collection of tax from a related company - HMRC internal manual - GOV.UK.pdf",UK
283,"INTM489958 - Diverted Profits Tax_ notification, charging and payment_ serving a notice on the related company - HMRC internal manual - GOV.UK.pdf",UK
284,"INTM489960 - Diverted Profits Tax_ notification, charging and payment_ appeals by a related company - HMRC internal manual - GOV.UK.pdf",UK
285,"INTM489962 - Diverted Profits Tax_ notification, charging and payment_ amount of Diverted Profits Tax paid by a related company in a consortium case - HMRC internal manual - GOV.UK.pdf",UK
286,"INTM489964 - Diverted Profits Tax_ notification, charging and payment_ related company’s right to reimbursement - HMRC internal manual - GOV.UK.pdf",UK
287,"INTM489966 - Diverted Profits Tax_ notification, charging and payment_ no tax deduction for Diverted Profits Tax paid by a related company - HMRC internal manual - GOV.UK.pdf",UK
288,"INTM489968 - Diverted Profits Tax_ notification, charging and payment_ interest - HMRC internal manual - GOV.UK.pdf",UK
289,"INTM489970 - Diverted Profits Tax_ notification, charging and payment_ True Up interest - HMRC internal manual - GOV.UK.pdf",UK
290,"INTM489972 - Diverted Profits Tax_ notification, charging and payment_ late payment interest - HMRC internal manual - GOV.UK.pdf",UK
291,"INTM489974 - Diverted Profits Tax_ notification, charging and payment_ penalties - HMRC internal manual - GOV.UK.pdf",UK
292,"INTM489977 - Diverted Profits Tax_ imposing a charge – procedure and governance_ overview - HMRC internal manual - GOV.UK.pdf",UK
293,"INTM489978 - Diverted Profits Tax_ imposing a charge – procedure and governance_ identifying potential Diverted Profits Tax cases - HMRC internal manual - GOV.UK.pdf",UK
294,"INTM489979 - Diverted Profits Tax_ imposing a charge – procedure and governance_ time limits within the Diverted Profits Tax legislation - HMRC internal manual - GOV.UK.pdf",UK
295,"INTM489980 - Diverted Profits Tax_ imposing a charge – procedure and governance_ engagement during the review period - HMRC internal manual - GOV.UK.pdf",UK
296,"INTM489981 - Diverted Profits Tax_ imposing a charge – procedure and governance_ preliminary notice - HMRC internal manual - GOV.UK.pdf",UK
297,"INTM489982 - Diverted Profits Tax_ imposing a charge – procedure and governance_ representations following a preliminary notice - HMRC internal manual - GOV.UK.pdf",UK
298,"INTM489983 - Diverted Profits Tax_ imposing a charge – procedure and governance_ charging notice - HMRC internal manual - GOV.UK.pdf",UK
299,"INTM489984 - Diverted Profits Tax_ imposing a charge – procedure and governance_ process for collecting tax - HMRC internal manual - GOV.UK.pdf",UK
300,"INTM489985 - Diverted Profits Tax_ imposing a charge – procedure and governance_ review period - HMRC internal manual - GOV.UK.pdf",UK
301,"INTM489986 - Diverted Profits Tax_ imposing a charge – procedure and governance_ designating the end of the review period - HMRC internal manual - GOV.UK.pdf",UK
302,"INTM489987 - Diverted Profits Tax_ imposing a charge – procedure and governance_ supplementary charging notices and amending notices - HMRC internal manual - GOV.UK.pdf",UK
303,"INTM489988 - Diverted Profits Tax_ imposing a charge – procedure and governance_ bringing taxable diverted profits into charge to corporation tax - HMRC internal manual - GOV.UK.pdf",UK
304,"INTM489989 - Diverted Profits Tax_ imposing a charge – procedure and governance_ appeals against charging notices and supplementary charging notices - HMRC internal manual - GOV.UK.pdf",UK
305,"INTM489990 - Diverted Profits Tax_ imposing a charge – procedure and governance_ information and inspection powers - HMRC internal manual - GOV.UK.pdf",UK
306,"INTM489991 - Diverted Profits Tax_ imposing a charge – procedure and governance_ interaction with other legislation - HMRC internal manual - GOV.UK.pdf",UK
307,"INTM489992 - Diverted Profits Tax_ imposing a charge – procedure and governance_ governance - HMRC internal manual - GOV.UK.pdf",UK
308,"INTM489996 - Diverted Profits Tax_ appendix A - notification template guidance - HMRC internal manual - GOV.UK.pdf",UK
309,"INTM489998 - Diverted Profits Tax_ appendix B - notification template - HMRC internal manual - GOV.UK.pdf",UK
310,"INTM501010 - Interest imputation_ transfer pricing the lender_ tax implications of outward lending - HMRC internal manual - GOV.UK.pdf",UK
311,"INTM501020 - Interest imputation_ transfer pricing the lender_ detecting and evaluating loans to connected parties - HMRC internal manual - GOV.UK.pdf",UK
312,"INTM501030 - Interest imputation_ transfer pricing the lender_ information gathering on outward loan cases - HMRC internal manual - GOV.UK.pdf",UK
313,"INTM501040 - Interest imputation_ transfer pricing the lender_ working a case - HMRC internal manual - GOV.UK.pdf",UK
314,"INTM501050 - Interest imputation_ transfer pricing the lender_ implicit and explicit loan guarantees - HMRC internal manual - GOV.UK.pdf",UK
315,"INTM501060 - Interest imputation_ transfer pricing the lender_ treatment of exchange differences - HMRC internal manual - GOV.UK.pdf",UK
316,"INTM502010 - Interest imputation_ dealing with ‘equity function’ arguments_ Introduction - HMRC internal manual - GOV.UK.pdf",UK
317,"INTM502020 - Interest imputation_ dealing with ‘equity function’ arguments_ HMRC response - HMRC internal manual - GOV.UK.pdf",UK
318,"INTM502030 - Interest imputation_ dealing with ‘equity function’ arguments_ Preparatory work - HMRC internal manual - GOV.UK.pdf",UK
319,"INTM502040 - Interest imputation_ dealing with ‘equity function’ arguments_ Working a case - HMRC internal manual - GOV.UK.pdf",UK
320,"INTM502050 - Issues affecting equity function cases - HMRC internal manual - GOV.UK.pdf",UK
321,"INTM502060 - Interest imputation_ dealing with ‘equity function’ arguments_ referrals to Business, Assets & International - HMRC internal manual - GOV.UK.pdf",UK
322,"INTM503010 - Intra-group funding_ group finance companies and the treasury function_ Introduction - HMRC internal manual - GOV.UK.pdf",UK
323,"INTM503020 - Intra-group funding_ group finance companies and the treasury function_ Types of company - HMRC internal manual - GOV.UK.pdf",UK
324,"INTM503030 - Intra-group funding_ group finance companies and the treasury function_ Centralising the finance function - commercial considerations - HMRC internal manual - GOV.UK.pdf",UK
325,"INTM503040 - Intra-group funding_ group finance companies and the treasury function_ Centralising the finance function_ tax considerations - HMRC internal manual - GOV.UK.pdf",UK
326,"INTM503050 - Intra-group funding_ group finance companies and the treasury function_ Risk assessment - HMRC internal manual - GOV.UK.pdf",UK
327,"INTM503060 - Intra-group funding_ group finance companies and the treasury function_ Thin capitalisation risk assessment - HMRC internal manual - GOV.UK.pdf",UK
328,"INTM503070 - Intra-group funding_ group finance companies and the treasury function_ Functional analysis - HMRC internal manual - GOV.UK.pdf",UK
329,"INTM503080 - Intra-group funding_ group finance companies and the treasury function_ Applying a transfer pricing method - HMRC internal manual - GOV.UK.pdf",UK
330,"INTM503110 - Cash pooling_ Introduction to cash pooling - HMRC internal manual - GOV.UK.pdf",UK
331,"INTM503120 - Cash pooling_ Legal and commercial arrangements - HMRC internal manual - GOV.UK.pdf",UK
332,"INTM503130 - Cash pooling_ setting interest rates for participants on an arm_s length basis - HMRC internal manual - GOV.UK.pdf",UK
333,"INTM503140 - Cash pooling_ short term and long term balances held in the cash pool - HMRC internal manual - GOV.UK.pdf",UK
334,"INTM503150 - Cash pooling_ UK company as long term depositor in the cash pool - HMRC internal manual - GOV.UK.pdf",UK
335,"INTM503160 - Cash pooling_ UK company as long-term borrower in the cash pool - HMRC internal manual - GOV.UK.pdf",UK
336,"INTM503170 - Cash pooling_ UK company as the cash pool header - HMRC internal manual - GOV.UK.pdf",UK
337,"INTM503180 - Cash pooling_ UK company as the cash pool header and the arm’s length principle - HMRC internal manual - GOV.UK.pdf",UK
338,"INTM503190 - Cash pooling_ netting considerations - HMRC internal manual - GOV.UK.pdf",UK
339,"INTM503200 - Cash pooling_ risk assessment_compliance checks - HMRC internal manual - GOV.UK.pdf",UK
340,"INTM504010 - Double taxation treaties_ Beneficial ownership_ Treaty shopping - HMRC internal manual - GOV.UK.pdf",UK
341,"INTM504020 - Double taxation treaties_ Beneficial ownership_ Importance of beneficial ownership - HMRC internal manual - GOV.UK.pdf",UK
342,"INTM504030 - Double taxation treaties_ Beneficial ownership_ What beneficial ownership means - HMRC internal manual - GOV.UK.pdf",UK
343,"INTM504040 - Double taxation treaties_ Beneficial ownership_ Conduit companies - HMRC internal manual - GOV.UK.pdf",UK
344,"INTM504050 - Double taxation treaties_ Beneficial ownership_ Practical consideration of claims - HMRC internal manual - GOV.UK.pdf",UK
345,"INTM511010 - Thin capitalisation_ practical guidance_ introduction_ the aims of this module - HMRC internal manual - GOV.UK.pdf",UK
346,"INTM511015 - Thin capitalisation_ practical guidance_ introduction_ what is thin capitalisation_ - HMRC internal manual - GOV.UK.pdf",UK
347,"INTM511020 - Thin capitalisation_ practical guidance_ introduction_ the aims of thin cap work - HMRC internal manual - GOV.UK.pdf",UK
348,"INTM511030 - Thin capitalisation_ practical guidance_ introduction_ forms of borrowing - HMRC internal manual - GOV.UK.pdf",UK
349,"INTM511035 - Thin capitalisation_ practical guidance_ introduction_ Critical features of debt and their interdependence - HMRC internal manual - GOV.UK.pdf",UK
350,"INTM511040 - Thin capitalisation_ practical guidance_ introduction_ getting help with thin capitalisation cases - HMRC internal manual - GOV.UK.pdf",UK
351,"INTM511050 - Thin capitalisation_ practical guidance_ introduction_ referrals to Business, Assets & International - HMRC internal manual - GOV.UK.pdf",UK
352,"INTM512010 - Thin capitalisation_ practical guidance_ the Advance Thin Capitalisation Agreement process_ Introduction to the ATCA process and its governance - HMRC internal manual - GOV.UK.pdf",UK
353,"INTM512020- Thin capitalisation_ practical guidance_the Advance Thin Capitalisation Agreement process_when can ATCA application be made, and what periods can it apply toHMRC internal manual GOV.UK.pdf",UK
354,"INTM512030 - Thin capitalisation_ practical guidance_ the Advance Thin Capitalisation Agreement process_ what types of transactions are within the ATCA regime_ - HMRC internal manual - GOV.UK.pdf",UK
355,"INTM512050 - Thin capitalisation_ practical guidance_ the Advance Thin Capitalisation Agreement process_ presenting an ATCA application - information and analysis - HMRC internal manual - GOV.UK.pdf",UK
356,"INTM512060 - Thin capitalisation_ practical guidance_ the Advance Thin Capitalisation Agreement process_ role of Business, Assets & International - HMRC internal manual - GOV.UK.pdf",UK
357,"INTM512070 - Thin capitalisation_ practical guidance_ the Advance Thin Capitalisation Agreement process_ criteria for acceptance of an ATCA application - HMRC internal manual - GOV.UK.pdf",UK
358,"INTM512075 - Thin capitalisation_ practical guidance_ the Advance Thin Capitalisation Agreement process_ setting up an ATCA - HMRC internal manual - GOV.UK.pdf",UK
359,"INTM512080 - Thin capitalisation_ practical guidance_ the Advance Thin Capitalisation Agreement process_ withdrawing from the ATCA process - HMRC internal manual - GOV.UK.pdf",UK
360,"INTM512100 - Thin capitalisation_ practical guidance_ the Advance Thin Capitalisation Agreement process_ completing the process - HMRC internal manual - GOV.UK.pdf",UK
361,"INTM512110 - Thin capitalisation_ practical guidance_ the Advance Thin Capitalisation Agreement process_ renewing the ATCA - HMRC internal manual - GOV.UK.pdf",UK
362,"INTM513010 - Thin capitalisation_ practical guidance_ opening a case_ where the case begins - HMRC internal manual - GOV.UK.pdf",UK
363,"INTM513020 - Thin capitalisation_ practical guidance_ opening a case_ gathering preliminary information - HMRC internal manual - GOV.UK.pdf",UK
364,"INTM513030 - Thin capitalisation_ practical guidance_ opening a case_ reasons for not taking up a case - HMRC internal manual - GOV.UK.pdf",UK
365,"INTM513040 - Thin capitalisation_ practical guidance_ opening a case_ other issues and where to look for them - HMRC internal manual - GOV.UK.pdf",UK
366,"INTM513050 - Thin capitalisation_ practical guidance_ opening a case_ risk assessment - indicators of risk - HMRC internal manual - GOV.UK.pdf",UK
367,"INTM513060 - Thin capitalisation_ practical guidance_ opening a case_ origins and destinations of debt - HMRC internal manual - GOV.UK.pdf",UK
368,"INTM513070 - Thin capitalisation_ practical guidance_ opening a case_ pre-return enquiries - no informal comfort - HMRC internal manual - GOV.UK.pdf",UK
369,"INTM513080 - Thin capitalisation_ practical guidance_ opening a case_ the opening meeting - HMRC internal manual - GOV.UK.pdf",UK
370,"INTM514010 - Thin capitalisation_ practical guidance_ knowledge and negotiation_ getting to know the business - HMRC internal manual - GOV.UK.pdf",UK
371,"INTM514020 - Thin capitalisation_ practical guidance_ knowledge and negotiation_ getting to know similar businesses - comparables - HMRC internal manual - GOV.UK.pdf",UK
372,"INTM514030 - Thin capitalisation_ practical guidance_ knowledge and negotiation_ formulating an arm_s length position - comparables and OECD guidance - HMRC internal manual - GOV.UK.pdf",UK
373,"INTM514040 - Thin capitalisation_ practical guidance_ knowledge and negotiation_ negotiating a solution - HMRC internal manual - GOV.UK.pdf",UK
374,"INTM515010 - Thin capitalisation_ practical guidance_ measuring earnings_ measuring borrowing capacity - HMRC internal manual - GOV.UK.pdf",UK
375,"INTM515020 - Thin capitalisation_ practical guidance_ measuring earnings_ earnings before interest and tax (EBIT) - HMRC internal manual - GOV.UK.pdf",UK
376,"INTM515030 - Thin capitalisation_ practical guidance_ measuring earnings_ earnings before interest, tax, depreciation and amortisation (EBITDA) - HMRC internal manual - GOV.UK.pdf",UK
377,"INTM515040 - Thin capitalisation_ practical guidance_ measuring earnings_ the effect of depreciation - HMRC internal manual - GOV.UK.pdf",UK
378,"INTM515050 - Thin capitalisation_ practical guidance_ measuring earnings_ the effect of amortisation - HMRC internal manual - GOV.UK.pdf",UK
379,"INTM515060 - Thin capitalisation_ practical guidance_ measuring earnings_ exceptional items and unforeseen events - HMRC internal manual - GOV.UK.pdf",UK
380,"INTM515070 - Thin capitalisation_ practical guidance_ measuring earnings_ the effect of accounting issues - HMRC internal manual - GOV.UK.pdf",UK
381,"INTM516010 - Thin capitalisation_ practical guidance_ interest cover - debt servicing_ what interest cover means - HMRC internal manual - GOV.UK.pdf",UK
382,"INTM516020 - Thin capitalisation_ practical guidance_ interest cover - debt servicing_ matters of interest - HMRC internal manual - GOV.UK.pdf",UK
383,"INTM516025 - Thin capitalisation_ practical guidance_ interest cover - debt servicing_ discounted debt and convertible debt - HMRC internal manual - GOV.UK.pdf",UK
384,"INTM516030 - Thin capitalisation_ practical guidance_ interest cover - debt servicing_ factors affecting the interest rate - HMRC internal manual - GOV.UK.pdf",UK
385,"INTM516035 - Thin capitalisation_ practical guidance_ interest cover - debt servicing_ LIBOR (London Interbank Offered Rate) replaced by SONIA and Short-Maturity Treasury Debt Issues - HMRC internal manual - GOV.UK.pdf",UK
386,"INTM516040 - Thin capitalisation_ practical guidance_ interest cover - debt servicing_ other measures of interest cover_ netting - HMRC internal manual - GOV.UK.pdf",UK
387,"INTM516050 - Thin capitalisation_ practical guidance_ interest cover - debt servicing_ what is an acceptable arm_s length standard_ - HMRC internal manual - GOV.UK.pdf",UK
388,"INTM516060 - Thin capitalisation_ practical guidance_ interest cover - debt servicing_ example of an interest cover calculation - HMRC internal manual - GOV.UK.pdf",UK
389,"INTM516070 - Thin capitalisation_ practical guidance_ interest cover - debt servicing_ cash flow and cash flow covenants - HMRC internal manual - GOV.UK.pdf",UK
390,"INTM516080 - Thin capitalisation_ practical guidance_ interest cover - debt servicing_ measuring cash flow sufficiency to pay interest and repay capital - HMRC internal manual - GOV.UK.pdf",UK
391,"INTM517010 - Thin capitalisation_ practical guidance_ measuring debt_ debt-based ratios (gearing or leverage) - HMRC internal manual - GOV.UK.pdf",UK
392,"INTM517020 - Thin capitalisation_ practical guidance_ measuring debt_ what is debt_ - HMRC internal manual - GOV.UK.pdf",UK
393,"INTM517030 - Thin capitalisation_ practical guidance_ measuring debt_ what is equity_ - HMRC internal manual - GOV.UK.pdf",UK
394,"INTM517040 - Thin capitalisation_ practical guidance_ measuring debt_ what is an acceptable arm_s length standard_ - HMRC internal manual - GOV.UK.pdf",UK
395,"INTM517050 - Thin capitalisation_ practical guidance_ measuring debt_ the UK borrowing unit - HMRC internal manual - GOV.UK.pdf",UK
396,"INTM517060 - Thin capitalisation_ practical guidance_ measuring debt_ how the nature of the commercial activity influences the level of debt - HMRC internal manual - GOV.UK.pdf",UK
397,"INTM517070 - Thin capitalisation_ practical guidance_ measuring debt_ Private Finance Initiative (PFI) companies - HMRC internal manual - GOV.UK.pdf",UK
398,"INTM517080 - Thin capitalisation_ practical guidance_ measuring debt_ groups_companies in expansion mode - HMRC internal manual - GOV.UK.pdf",UK
399,"INTM517090 - Thin capitalisation_ practical guidance_ measuring debt_ groups_companies in acquisition mode - HMRC internal manual - GOV.UK.pdf",UK
400,"INTM517100 - Thin capitalisation_ practical guidance_ measuring debt_ groups with mixed activities - HMRC internal manual - GOV.UK.pdf",UK
401,"INTM517110 - Thin capitalisation_ practical guidance_ measuring debt_ example_ the components of a debt_ equity ratio calculation - HMRC internal manual - GOV.UK.pdf",UK
402,"INTM517120 - Thin capitalisation_ practical guidance_ measuring debt_ adjusting debt calculations_ netting off of debt - HMRC internal manual - GOV.UK.pdf",UK
403,"INTM517130 - Thin capitalisation_ practical guidance_ measuring debt_ adjusting debt calculations_ netting off of cash - HMRC internal manual - GOV.UK.pdf",UK
404,"INTM518010 - Thin capitalisation_ practical guidance_ lending against asset values_ lending against assets in general - HMRC internal manual - GOV.UK.pdf",UK
405,"INTM518020 - Thin capitalisation_ practical guidance_ lending against asset values_ lending against tangible assets - assets other than buildings and land - HMRC internal manual - GOV.UK.pdf",UK
406,"INTM518030 - Thin capitalisation_ practical guidance_ lending against asset values_ lending against tangible assets - land and buildings - HMRC internal manual - GOV.UK.pdf",UK
407,"INTM518040 - Thin capitalisation_ practical guidance_ lending against asset values_ UK third-party practices - loan to value ratios in property lending - HMRC internal manual - GOV.UK.pdf",UK
408,"INTM518050 - Thin capitalisation_ practical guidance_ lending against asset values_ UK third party practices - interest rate margins in property lending - HMRC internal manual - GOV.UK.pdf",UK
409,"INTM518060 - Thin capitalisation_ practical guidance_ lending against asset values_ offshore property companies - HMRC internal manual - GOV.UK.pdf",UK
410,"INTM518070 - Thin capitalisation_ practical guidance_ lending against asset values_ property companies and the credit crisis - HMRC internal manual - GOV.UK.pdf",UK
411,"INTM518080 - Thin capitalisation_ practical guidance_ lending against asset values_ lending against intangible assets - HMRC internal manual - GOV.UK.pdf",UK
412,"INTM519010 - Thin capitalisation_ practical guidance_ private equity_ what is private equity_ - HMRC internal manual - GOV.UK.pdf",UK
413,"INTM519020 - Thin capitalisation_ practical guidance_ private equity_ private equity buyout funding structures - HMRC internal manual - GOV.UK.pdf",UK
414,"INTM519030 - Thin capitalisation_ practical guidance_ private equity_ typical debt elements of a private equity buyout - HMRC internal manual - GOV.UK.pdf",UK
415,"INTM519035 - Thin capitalisation_ practical guidance_ private equity_ payment-in-kind (“PIK”) notes - HMRC internal manual - GOV.UK.pdf",UK
416,"INTM519040 - Thin capitalisation_ practical guidance_ private equity_ applying the transfer pricing rules - “acting together” - HMRC internal manual - GOV.UK.pdf",UK
417,"INTM519050 - Thin capitalisation_ practical guidance_ private equity_ issues to consider - HMRC internal manual - GOV.UK.pdf",UK
418,"INTM519060 - Thin capitalisation_ practical guidance_ private equity_ risk assessment - the basics - HMRC internal manual - GOV.UK.pdf",UK
419,"INTM519070 - Thin capitalisation_ practical guidance_ private equity_ working the case_ third party loan agreements - HMRC internal manual - GOV.UK.pdf",UK
420,"INTM519080 - Thin capitalisation_ practical guidance_ private equity_ working the case_ other points - HMRC internal manual - GOV.UK.pdf",UK
421,"INTM520010 - Thin capitalisation_ practical guidance_ creating agreements between HMRC and the group_ introduction to the main features of the agreement - HMRC internal manual - GOV.UK.pdf",UK
422,"INTM520020 - Thin capitalisation_ practical guidance_ creating agreements between HMRC and the group_ maximum amount of debt - HMRC internal manual - GOV.UK.pdf",UK
423,"INTM520030 - Thin capitalisation_ practical guidance_ creating agreements between HMRC and the group_ interest rate - HMRC internal manual - GOV.UK.pdf",UK
424,"INTM520040 - Thin capitalisation_ practical guidance_ creating agreements between HMRC and the group_ length of the agreement - HMRC internal manual - GOV.UK.pdf",UK
